strategy,configured_one_way_delay_ms,median_d_eff_one_way_ms,n_rounds,cost_ratio_of_sums,mean_cost_per_token_sanity,std_cost_per_token,ci95_cost_per_token,mean_accepted_total,k_used,verify_seed_base
fixed1,20,26.340740507293958,1000,132.2724490115348,147.94550788297784,47.61341619085914,4.173499941555005,1.402,1.0,20000
fixed2,20,25.872668498777784,1000,139.23286103673613,176.47601743584772,73.24351889562463,6.420077496746754,1.692,2.0,20000
fixed3,20,25.85526525217574,1000,147.1072633074261,206.88445978688833,95.91184494971155,8.407043882075016,1.93,3.0,20000
fixed4,20,25.58102699549636,1000,150.00331498110123,230.05157183837923,112.9399659470557,9.899624496377815,2.136,4.0,20000
fixed5,20,25.666012996225618,1000,158.36936609292385,260.4531702975422,132.14754553256995,11.583243078926543,2.31,5.0,20000
fixed7,20,25.609094991523307,1000,179.17789951504813,324.861544447591,169.5712660970226,14.863576818527,2.566,7.0,20000
fixed10,20,25.74959949561162,1000,213.3056005957914,423.1290224489477,223.93883092772427,19.62910399124397,2.814,10.0,20000
greedy,20,25.881803761876654,1000,131.18201294882667,146.80617133365013,47.10348123118988,4.128802171585181,1.402,1.0,20000
specdec_pp,20,25.552068749675527,1000,168.24302185628014,292.25420266896765,150.9102927268003,13.227870383227488,2.452,6.0,20000
theory_oracle,20,25.586277501133736,1000,168.7124149528595,293.4076036027854,151.74346200256113,13.300900890212215,2.452,6.0,20000
calibrated_geometric_oracle,20,25.97504147706786,1000,131.9351388007328,147.45037035061978,46.75492236674938,4.098249640035257,1.402,1.0,20000
empirical_oracle,20,25.92942250339547,1000,130.81185081290292,146.2563748312823,46.47869468736725,4.074037216395331,1.402,1.0,20000
naive_ucb,20,25.943042266590055,1000,135.05405308150534,154.25260830641977,65.65303723952924,5.75474244451897,1.448,,20000
ucb,20,25.832389233983122,1000,141.46390937989216,179.77588224146652,80.76298278102102,7.079187566909114,1.694,,20000
fixed1,55,61.061809756211005,1000,178.49596975646796,199.72039978581597,63.207059805585,5.540343069420762,1.406,1.0,21000
fixed2,55,61.14155751129147,1000,189.1878640950274,240.15950828870217,99.53858033946403,8.724941255296335,1.7,2.0,21000
fixed3,55,60.76915875746636,1000,193.04153794457346,272.18748265327304,127.09242696976493,11.14014240028902,1.938,3.0,21000
fixed4,55,60.479841005872004,1000,195.37630505648937,300.59332834728605,149.6125043978503,13.114114220609116,2.146,4.0,21000
fixed5,55,60.63327800802654,1000,198.79342717012355,328.7720608718771,167.0411405295269,14.6418015343142,2.326,5.0,21000
fixed7,55,60.749952754122205,1000,210.9024916410786,390.55182137208675,206.08428746907734,18.064084254318228,2.63,7.0,21000
fixed10,55,60.6383562553674,1000,236.6611446873059,488.12671638982835,263.15958259917323,23.06695445239111,2.946,10.0,21000
greedy,55,60.976946748269256,1000,178.59773929878358,199.81720630990458,63.012783287505876,5.5233139817871715,1.406,1.0,21000
specdec_pp,55,60.67972249729792,1000,203.55645818813483,357.7121469237613,185.68685619216146,16.27617057257691,2.49,6.0,21000
theory_oracle,55,60.68348477128893,1000,227.35968552276586,454.9076506567905,243.78123247122235,21.368367171817823,2.854,9.0,21000
calibrated_geometric_oracle,55,61.03425024775788,1000,180.73289429203072,202.2554341238283,65.76888387147407,5.764896849523498,1.406,1.0,21000
empirical_oracle,55,60.91066123917699,1000,178.0227575232795,199.297065637802,63.15672799016762,5.535931291281155,1.406,1.0,21000
naive_ucb,55,60.81074074609205,1000,180.50122130338826,204.38734383195796,75.75853170811003,6.640528089576365,1.44,,21000
ucb,55,60.85620773228584,1000,180.75711720824972,204.55036699346965,79.64753659899746,6.98141439816982,1.43,,21000
fixed1,111,117.31949800741859,1000,261.5745121765104,292.518836183066,90.08842027371834,7.896598203330093,1.392,1.0,22000
fixed2,111,117.52000725391554,1000,260.60025642209166,330.3452531909861,134.65757184814476,11.803256586030535,1.678,2.0,22000
fixed3,111,117.36269299581181,1000,261.17726888734256,369.19759146820195,169.07823138235966,14.82036042034666,1.922,3.0,22000
fixed4,111,117.59413775143912,1000,254.7952327559489,393.24124580844074,190.66383687256354,16.71242216384093,2.132,4.0,22000
fixed5,111,116.90708626701962,1000,254.41009916612782,422.8021107291803,212.31507456116015,18.610236823174265,2.312,5.0,22000
fixed7,111,117.00887798360782,1000,265.0629185965685,484.8822487322901,251.03123059759437,22.00385752679253,2.57,7.0,22000
fixed10,111,117.1454767609248,1000,291.8499457340805,584.8689429016605,308.60343845742625,27.05028404605433,2.826,10.0,22000
greedy,111,117.61199049215065,1000,263.28365182805635,294.55865449935663,91.13230259345501,7.988098522965794,1.392,1.0,22000
specdec_pp,111,117.52130950480932,1000,261.09659016232723,457.61346036563265,233.93462948138676,20.505274365415,2.452,6.0,22000
theory_oracle,111,117.23075624468038,1000,291.4126745787222,584.0270155988335,308.06732161449094,27.003291332830646,2.826,10.0,22000
calibrated_geometric_oracle,111,117.59602675738279,1000,261.04486809475185,368.75043785099115,168.627598051435,14.780860667320372,1.922,3.0,22000
empirical_oracle,111,117.4659047392197,1000,256.5343619896952,396.36262278726593,192.47631133997402,16.871292555612143,2.132,4.0,22000
naive_ucb,111,117.6563695189543,1000,264.58802145590994,326.59369864387554,138.2790896815505,12.120696620273675,1.602,,22000
ucb,111,117.48530525073875,1000,261.94482723438267,370.5411329747391,171.42448942318748,15.026019005250882,1.922,,22000
fixed1,150,156.7083355039358,1000,318.6401149930491,356.62775351508753,110.52511975090698,9.687953894585839,1.396,1.0,23000
fixed2,150,156.75692724471446,1000,311.11178621355214,392.36699643257697,158.7094871142829,13.91149991297721,1.668,2.0,23000
fixed3,150,156.79456676298287,1000,306.56451966068215,429.3278393392393,194.24551588053487,17.026370171068923,1.9,3.0,23000
fixed4,150,156.55150500242598,1000,302.8414403423071,461.52977086551255,221.1188397803267,19.38192086870405,2.094,4.0,23000
fixed5,150,156.44027601229027,1000,305.1708503875011,496.98354661338965,245.11845000668922,21.48557945677016,2.256,5.0,23000
fixed7,150,156.40877350233495,1000,304.8395645262514,547.7943536464463,278.16321583512473,24.382080890333565,2.51,7.0,23000
fixed10,150,156.22839149727952,1000,325.0403740273048,646.4847296279813,335.2094388025663,29.38240280099408,2.79,10.0,23000
