strategy,configured_one_way_delay_ms,median_d_eff_one_way_ms,n_rounds,cost_ratio_of_sums,mean_cost_per_token_sanity,std_cost_per_token,ci95_cost_per_token,mean_accepted_total,k_used,verify_seed_base
fixed1,20,26.508724746236112,1000,139.83696652941615,157.2197670887108,52.18142251975454,4.573903350338933,1.466,1.0,20000
fixed2,20,26.424571231473237,1000,148.556374285189,189.92397521037492,84.19472312960126,7.37999287117084,1.8,2.0,20000
fixed3,20,26.404914002341684,1000,162.23599631402422,230.6483826565042,114.54494002243398,10.040306676856906,2.066,3.0,20000
fixed4,20,26.64560900302604,1000,178.55882849771277,274.95454172661795,144.01289736889157,12.623287023618852,2.272,4.0,20000
fixed5,20,26.53521850152174,1000,195.40459367893936,321.92076567220795,174.36121870957092,15.283434676832902,2.452,5.0,20000
fixed7,20,26.698893496359233,1000,227.56855541694165,413.19980223603676,231.18457307255264,20.264221292988207,2.728,7.0,20000
fixed10,20,27.59390875871759,1000,277.5145139266665,546.6062521504874,312.08279437348716,27.355263038826482,2.98,10.0,20000
greedy,20,27.033912258048076,1000,140.8318026823698,158.25437798371422,52.211244341791776,4.576517348293429,1.466,1.0,20000
specdec_pp,20,26.957706999382935,1000,212.2344544612733,368.1401379531779,202.91667298744846,17.786430603066776,2.596,6.0,20000
theory_oracle,20,27.081279244157486,1000,212.91439082435488,369.39170512836426,203.8016242316654,17.863999999709385,2.596,6.0,20000
calibrated_geometric_oracle,20,26.44320374383824,1000,139.7893387584637,157.19179505109787,52.1459492587574,4.570793981918383,1.466,1.0,20000
empirical_oracle,20,26.043387748359237,1000,139.3822589400002,156.5098955151043,51.19291553529634,4.487256892850444,1.466,1.0,20000
naive_ucb,20,26.258143501763698,1000,142.76968734390852,173.14063750086643,92.93727246423252,8.146311107838978,1.68,,20000
ucb,20,26.440062509209383,1000,164.78295037997216,239.0365652941138,132.09532401014317,11.578665660664377,2.128,,20000
fixed1,55,61.55100424075499,1000,190.32026556080493,213.76195895473938,69.44484060544411,6.087108663792098,1.462,1.0,21000
fixed2,55,61.2746434926521,1000,197.34056910952555,252.09469979515416,110.69892473402604,9.70318857306347,1.786,2.0,21000
fixed3,55,61.21969575906405,1000,207.1744955167786,292.5208550302098,142.67093928185722,12.505659211000726,2.038,3.0,21000
fixed4,55,61.20324549556244,1000,220.72914726121783,338.80895644854655,175.1539063124853,15.352916808742389,2.248,4.0,21000
fixed5,55,61.27525652118493,1000,234.11371801301425,382.11153272731946,202.5400316920048,17.75341653790875,2.412,5.0,21000
fixed7,55,61.72657575370977,1000,265.6723387160599,474.7497082057849,260.2307929685022,22.81023472231681,2.66,7.0,21000
fixed10,55,61.64142725901911,1000,319.6508213635383,612.5430400256206,342.50668781049063,30.022034878348183,2.866,10.0,21000
greedy,55,61.56160373939201,1000,191.34325965992608,215.113929351588,71.14737557516041,6.236342433705261,1.462,1.0,21000
specdec_pp,55,61.70089925581124,1000,250.18450790361774,429.7768806177328,232.84572978971826,20.409828099150026,2.548,6.0,21000
theory_oracle,55,61.533545987913385,1000,300.5506830617456,565.4289076306643,314.77655900021017,27.59138191899937,2.81,9.0,21000
calibrated_geometric_oracle,55,61.3065605139127,1000,189.76840830431766,213.18329352285946,69.38978933623277,6.082283207288094,1.462,1.0,21000
empirical_oracle,55,61.29450724256458,1000,189.30886220382035,212.60379212687258,68.93671390402801,6.042569394646573,1.462,1.0,21000
naive_ucb,55,61.67616801394615,1000,191.66649149437922,230.43977282150493,111.71394101256367,9.792158672628966,1.644,,21000
ucb,55,61.283223010832444,1000,214.78052758123354,318.19480339693655,168.34704940752,14.756269494439831,2.162,,21000
fixed1,111,118.08562051010085,1000,268.39450789827583,301.5830369136529,97.59163124767976,8.554283642992258,1.458,1.0,22000
fixed2,111,118.16103426099289,1000,267.38136987592173,338.3408421141309,144.0753205702299,12.628758658464227,1.758,2.0,22000
fixed3,111,117.76156252017245,1000,269.87619321228703,377.87049819025077,180.38310095734926,15.811275928727339,2.0,3.0,22000
fixed4,111,118.01275975449244,1000,278.64455983188236,423.0700174852352,213.603588600069,18.723180058428014,2.2,4.0,22000
fixed5,111,117.80623150116298,1000,286.802326040822,467.33330259319627,243.60582481605928,21.35299201294166,2.384,5.0,22000
fixed7,111,118.06532175978646,1000,311.4125563902693,561.2140777896625,303.63331301970635,26.61463334330498,2.66,7.0,22000
fixed10,111,118.03928775771055,1000,355.3100190769088,697.2308489005354,385.56587399403486,33.79633895894739,2.912,10.0,22000
greedy,111,117.70094575331314,1000,268.01886258288977,301.326099340833,97.97299427324664,8.587711586043742,1.458,1.0,22000
specdec_pp,111,117.96195350325434,1000,298.331104553424,514.0921308253919,274.2031129628044,24.034962568893867,2.532,6.0,22000
theory_oracle,111,117.99826399510494,1000,354.4641870196426,694.9512110822841,383.69700699703026,33.632525544016026,2.912,10.0,22000
calibrated_geometric_oracle,111,117.3710285074776,1000,264.881961541355,335.4179554560397,143.1320125933506,12.546074068671444,1.758,2.0,22000
empirical_oracle,111,117.62067800736986,1000,269.55417798715644,377.29762667786656,179.8111304111247,15.761140499845897,2.0,3.0,22000
naive_ucb,111,117.90286724135512,1000,272.29170128598867,383.2659661580236,188.91712844522505,16.559316419649228,2.01,,22000
ucb,111,117.8962177655194,1000,276.0415499458319,408.41597609786714,208.61274598112234,18.285713414678074,2.134,,22000
fixed1,150,157.5593537563691,1000,321.2078021949482,361.01862774332403,117.45976196079371,10.295802084718925,1.466,1.0,23000
fixed2,150,156.81942824448925,1000,302.2572062488677,387.6730253817417,171.52171668475245,15.034541350483,1.806,2.0,23000
fixed3,150,156.970784002624,1000,296.99983133379226,424.2254255686712,211.0074851798478,18.49562156043803,2.08,3.0,23000
fixed4,150,157.2185700206319,1000,300.2986496503896,468.84007364201335,252.62304847979487,22.143386516094612,2.31,4.0,23000
fixed5,150,157.12096699280664,1000,304.4833548881994,511.3512595001123,280.2002626155383,24.560635913248152,2.512,5.0,23000
fixed7,150,156.9195014963043,1000,323.0794022101749,598.3679056935404,338.73479272798915,29.691413697056134,2.798,7.0,23000
fixed10,150,157.13006650912575,1000,367.074812112204,732.0119005113759,422.08161204002226,36.99708452170799,3.03,10.0,23000
greedy,150,157.2577024999191,1000,320.74427116401955,360.61945705715334,117.92620626405879,10.3366877305758,1.466,1.0,23000
specdec_pp,150,156.93757998815272,1000,312.79512925146753,555.0367627731783,310.30012828166787,27.199005466376803,2.67,6.0,23000
theory_oracle,150,157.11637674394296,1000,366.98462534017733,732.250821255726,422.46786456701864,37.03094104845631,3.03,10.0,23000
calibrated_geometric_oracle,150,156.6543544831802,1000,297.5295203874199,424.94827151642437,211.39649719294567,18.529719966807782,2.08,3.0,23000
empirical_oracle,150,157.0154704968445,1000,299.29102446233304,466.9864376319243,246.983506629473,21.649058877675046,2.31,4.0,23000
naive_ucb,150,156.62292974593583,1000,298.07183023439103,462.58624496705306,247.06222118708047,21.655958512858906,2.302,,23000
ucb,150,156.7755007490632,1000,299.92395889343965,467.29519144167233,249.52575841660587,21.87189707190346,2.306,,23000
