distribution,d_mean_ms,k,mc_cost,theory_cost,abs_error
Deterministic,10.0,1,12.943536762586119,12.941176470588237,0.0023602919978813475
Deterministic,10.0,3,9.880251353594435,9.869719699960523,0.01053165363391173
Deterministic,10.0,5,9.488244742495816,9.520020944046077,0.03177620155026162
Deterministic,10.0,7,9.893217082713678,9.868923819007376,0.02429326370630136
Deterministic,10.0,10,10.827693274324947,10.86483325350389,0.03713997917894396
Deterministic,50.0,1,59.99858826851133,60.00000000000001,0.0014117314886803456
Deterministic,50.0,3,41.414400378645944,41.4528227398342,0.03842236118825326
Deterministic,50.0,5,36.714962707116584,36.72008078417773,0.005118077061148085
Deterministic,50.0,7,35.426587174937126,35.33711431967157,0.08947285526555504
Deterministic,50.0,10,35.32066886031975,35.34896452900562,0.028295668685871078
Deterministic,100.0,1,119.01395173453997,118.82352941176472,0.19042232277524818
Deterministic,100.0,3,80.93042352272369,80.9317015396763,0.001278016952610983
Deterministic,100.0,5,70.59510314351849,70.7201555843423,0.12505244082380784
Deterministic,100.0,7,67.17263686026818,67.17235244550182,0.000284414766369423
Deterministic,100.0,10,65.79108050019539,65.95412862338277,0.16304812318738016
Deterministic,200.0,1,236.4372088646309,236.47058823529414,0.033379370663254804
Deterministic,200.0,3,160.13981589852276,159.88945913936047,0.25035675916228683
Deterministic,200.0,5,139.10529384288603,138.72030518467142,0.3849886582146098
Deterministic,200.0,7,130.324352262602,130.8428286971623,0.5184764345603128
Deterministic,200.0,10,127.83828687465386,127.16445681213709,0.673830062516771
Exponential,10.0,1,12.920089530583748,12.941176470588237,0.021086940004488852
Exponential,10.0,3,9.849458835407546,9.869719699960523,0.020260864552977154
Exponential,10.0,5,9.501764731888189,9.520020944046077,0.01825621215788864
Exponential,10.0,7,9.902957818954345,9.868923819007376,0.03403399994696876
Exponential,10.0,10,10.824385677484623,10.86483325350389,0.04044757601926818
Exponential,50.0,1,59.68053666920507,60.00000000000001,0.3194633307949388
Exponential,50.0,3,41.5723447735559,41.4528227398342,0.1195220337217009
Exponential,50.0,5,36.75587099545223,36.72008078417773,0.03579021127449522
Exponential,50.0,7,35.21953362488307,35.33711431967157,0.11758069478850075
Exponential,50.0,10,35.43148949964917,35.34896452900562,0.08252497064354714
Exponential,100.0,1,118.94279054112305,118.82352941176472,0.11926112935832123
Exponential,100.0,3,81.45801764583963,80.9317015396763,0.5263161061633355
Exponential,100.0,5,70.46050006106,70.7201555843423,0.2596555232822908
Exponential,100.0,7,67.42146878590204,67.17235244550182,0.2491163404002208
Exponential,100.0,10,65.73194811671874,65.95412862338277,0.22218050666403144
Exponential,200.0,1,235.89933036297313,236.47058823529414,0.5712578723210129
Exponential,200.0,3,159.82234434847433,159.88945913936047,0.06711479088613714
Exponential,200.0,5,137.92146089365875,138.72030518467142,0.7988442910126707
Exponential,200.0,7,130.99473232172346,130.8428286971623,0.15190362456115736
Exponential,200.0,10,127.55742907401572,127.16445681213709,0.3929722618786258
LogNormal,10.0,1,12.946790172829838,12.941176470588237,0.0056137022416002935
LogNormal,10.0,3,9.883149645405089,9.869719699960523,0.01342994544456566
LogNormal,10.0,5,9.529500101881165,9.520020944046077,0.009479157835087904
LogNormal,10.0,7,9.878475406159941,9.868923819007376,0.009551587152564878
LogNormal,10.0,10,10.87442843272213,10.86483325350389,0.00959517921823938
LogNormal,50.0,1,59.96951149506066,60.00000000000001,0.03048850493934907
LogNormal,50.0,3,41.48509575614549,41.4528227398342,0.032273016311293645
LogNormal,50.0,5,36.70296119672679,36.72008078417773,0.01711958745094222
LogNormal,50.0,7,35.17961527887764,35.33711431967157,0.15749904079392962
LogNormal,50.0,10,35.343511699737554,35.34896452900562,0.005452829268065784
LogNormal,100.0,1,119.03760669728696,118.82352941176472,0.2140772855222366
LogNormal,100.0,3,81.02266457344842,80.9317015396763,0.09096303377212678
LogNormal,100.0,5,70.65843172853893,70.7201555843423,0.06172385580336481
LogNormal,100.0,7,67.26750155107207,67.17235244550182,0.09514910557025757
LogNormal,100.0,10,65.90161191182439,65.95412862338277,0.05251671155838267
LogNormal,200.0,1,236.22890997769244,236.47058823529414,0.24167825760170558
LogNormal,200.0,3,159.76351998998922,159.88945913936047,0.1259391493712485
LogNormal,200.0,5,138.50884452765447,138.72030518467142,0.21146065701694283
LogNormal,200.0,7,131.15058694132162,130.8428286971623,0.3077582441593165
LogNormal,200.0,10,127.22304754342457,127.16445681213709,0.058590731287480935
